DP05_0001E,DP05_0077PE,GEO_ID
Estimate!!SEX AND AGE!!Total population,Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,id
3390,31.4,1400000US13089023102
4201,19.3,1400000US13089023107
4557,7.1,1400000US13089023108
2263,12,1400000US13089023111
4877,4.2,1400000US13089023112
2780,30.9,1400000US13089023113
2901,17.3,1400000US13089023114
2240,8.2,1400000US13089023115
7514,9.1,1400000US13089023204
8127,9.1,1400000US13089023206
7666,3,1400000US13089023208
5569,5.1,1400000US13089023209
8059,4,1400000US13089023210
3480,1.7,1400000US13089023211
3608,2.6,1400000US13089023212
7148,3.3,1400000US13089023213
6165,1.7,1400000US13089023214
7087,5.2,1400000US13089023303
7675,2.6,1400000US13089023306
10076,1.5,1400000US13089023309
10967,1.2,1400000US13089023310
5045,3.2,1400000US13089023311
10571,5,1400000US13089023312
5294,1.3,1400000US13089023313
6061,5,1400000US13089023314
5933,6.9,1400000US13089023315
8865,2,1400000US13089023316
4428,1,1400000US13089023410
3965,2.2,1400000US13089023411
6008,2.3,1400000US13089023412
4104,4.7,1400000US13089023413
6603,1.9,1400000US13089023414
7054,2.8,1400000US13089023416
16529,6.2,1400000US13089023418
10658,3,1400000US13089023419
9102,0.7,1400000US13089023421
6224,2,1400000US13089023422
7515,2.4,1400000US13089023423
5533,2.4,1400000US13089023424
6057,2.9,1400000US13089023425
4693,1,1400000US13089023426
2789,3.4,1400000US13089023427
10151,1.4,1400000US13089023428
3361,4.6,1400000US13089023501
3238,6.9,1400000US13089023504
3624,4.8,1400000US13089023505
6465,6,1400000US13089023506
4268,0.5,1400000US13089023507
3188,32.6,1400000US13089023601
2299,8.7,1400000US13089023602
3650,9.1,1400000US13089023603
6054,14.3,1400000US13089023700
4125,32.6,1400000US13089023801
4533,23.2,1400000US13089023802
5862,17.6,1400000US13089023803
0,-,1400000US13089980000
3614,52.5,1400000US13091960100
3582,73.3,1400000US13091960200
6050,60.7,1400000US13091960300
3723,59.4,1400000US13091960400
1897,84.4,1400000US13091960500
1963,75.2,1400000US13091960600
5145,43.1,1400000US13093970100
1970,41.8,1400000US13093970200
6621,42.5,1400000US13093970300
4940,10.7,1400000US13095000100
2585,2.9,1400000US13095000200
6357,30.1,1400000US13095000400
5021,31.7,1400000US13095000501
4070,67.9,1400000US13095000502
3607,32.8,1400000US13095000600
1603,37.1,1400000US13095000700
1305,8.8,1400000US13095000800
2165,26.9,1400000US13095000900
2614,9.8,1400000US13095001000
5173,11.8,1400000US13095001100
2233,1.4,1400000US13095001403
2432,2,1400000US13095001500
5982,7.7,1400000US13095010302
7284,49.1,1400000US13095010401
3399,13.4,1400000US13095010402
1572,54.4,1400000US13095010403
2023,34.7,1400000US13095010500
1911,2,1400000US13095010601
3337,12,1400000US13095010602
5731,6.8,1400000US13095010700
1690,22.8,1400000US13095010900
2549,50,1400000US13095011000
4173,30.5,1400000US13095011200
2975,52.6,1400000US13095011300
1337,10.5,1400000US13095011400
1635,50.4,1400000US13095011600
8288,12.2,1400000US13097080102
7616,20.9,1400000US13097080103
5410,47.3,1400000US13097080201
11259,33.3,1400000US13097080202
13020,20.8,1400000US13097080301
3603,46.9,1400000US13097080303
5463,34.8,1400000US13097080304
9296,80.5,1400000US13097080402
4817,55.2,1400000US13097080403
8201,48.2,1400000US13097080404
4588,57.2,1400000US13097080505
6069,65.6,1400000US13097080506
3613,60.8,1400000US13097080507
5339,50.2,1400000US13097080508
6189,43.7,1400000US13097080509
8492,39.3,1400000US13097080510
9531,33.1,1400000US13097080511
5478,34.9,1400000US13097080602
7293,40.4,1400000US13097080603
9751,33.3,1400000US13097080604
1143,42.5,1400000US13099090100
2543,29.7,1400000US13099090200
1055,55,1400000US13099090300
3736,43.1,1400000US13099090400
1835,67.1,1400000US13099090500
1486,75.2,1400000US13101880100
2495,61,1400000US13101880200
3560,81.3,1400000US13103030100
7317,70.1,1400000US13103030202
9431,81.4,1400000US13103030203
4053,63.1,1400000US13103030204
6356,82.5,1400000US13103030301
2685,84.8,1400000US13103030303
7485,77.8,1400000US13103030304
8038,66.1,1400000US13103030305
4849,90.8,1400000US13103030401
6703,89.8,1400000US13103030402
3697,80.5,1400000US13105000100
2887,76.8,1400000US13105000200
3478,43,1400000US13105000300
3937,53.4,1400000US13105000400
5167,65.4,1400000US13105000500
5290,62.9,1400000US13107970100
1746,66.9,1400000US13107970200
4560,40.9,1400000US13107970300
4834,48.3,1400000US13107970400
1304,89.3,1400000US13107970500
4799,72.8,1400000US13107970600
2549,61.1,1400000US13109970100
4005,66.6,1400000US13109970200
4133,43.3,1400000US13109970300
3792,97.1,1400000US13111050100
7205,93.2,1400000US13111050200
2401,97,1400000US13111050300
7150,95.7,1400000US13111050400
4847,93.5,1400000US13111050500
7826,22.6,1400000US13113140101
5511,44.8,1400000US13113140102
6181,62.4,1400000US13113140203
5572,49.7,1400000US13113140204
4282,75.1,1400000US13113140206
5618,79.3,1400000US13113140207
6864,66.2,1400000US13113140208
4912,86.7,1400000US13113140303
6938,73,1400000US13113140304
5079,53.1,1400000US13113140305
7908,72.9,1400000US13113140306
